Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540,0,0,,2.5,1040,676,,79.99
540,0,0,,2.5,1055,676,,61.89
332.5,142.5,0,,0,932,594,,40.27
332.5,142.5,0,228,0,932,594,,41.05
198.6,132.4,0,192,0,978.4,825.5,,44.3
266,114,0,228,0,932,670,,47.03
380,95,0,228,0,932,594,,43.7
380,95,0,228,0,932,594,,36.45
266,114,0,,0,932,670,,45.85
475,0,0,,0,932,594,,39.29
198.6,132.4,0,,0,978.4,825.5,,38.07
198.6,132.4,0,,0,978.4,825.5,,28.02
427.5,47.5,0,,0,932,594,,43.01
190,190,0,228,0,932,670,,42.33
304,76,0,228,0,932,670,,47.81
380,0,0,228,0,932,670,,52.91
139.6,209.4,0,192,0,1047,806.9,,39.36
342,38,0,228,0,932,670,,56.14
380,95,0,228,0,932,594,,40.56
475,0,0,228,0,932,594,,42.62
427.5,47.5,0,228,0,932,594,,41.84
139.6,209.4,0,192,0,1047,806.9,,28.24
139.6,209.4,0,,0,1047,806.9,,8.06
139.6,209.4,0,,0,1047,806.9,,44.21
380,0,0,,0,932,670,,52.52
380,0,0,228,0,932,670,,53.3
380,95,0,228,0,932,594,,41.15
342,38,0,228,0,932,670,,52.12
427.5,47.5,0,228,0,932,594,,37.43
475,0,0,228,0,932,594,,38.6
304,76,0,228,0,932,670,,55.26
266,114,0,228,0,932,670,,52.91
198.6,132.4,0,192,0,978.4,825.5,,41.72
475,0,0,228,0,932,594,,42.13
190,190,0,,0,932,670,,53.69
237.5,237.5,0,,0,932,594,,38.41
237.5,237.5,0,228,0,932,594,,30.08
332.5,142.5,0,228,0,932,594,,37.72
475,0,0,228,0,932,594,,42.23
237.5,237.5,0,228,0,932,594,,36.25
342,38,0,228,0,932,670,,50.46
427.5,47.5,0,228,0,932,594,,43.7
237.5,237.5,0,228,0,932,594,,39
380,0,0,228,0,932,670,,53.1
427.5,47.5,0,228,0,932,594,,41.54
427.5,47.5,0,228,0,932,594,,35.08
349,0,0,192,0,1047,806.9,,15.05
380,95,0,228,0,932,594,,40.76
237.5,237.5,0,228,0,932,594,,26.26
380,95,0,228,0,932,594,,32.82
332.5,142.5,0,228,0,932,594,,39.78
190,190,0,228,0,932,670,,46.93
237.5,237.5,0,228,0,932,594,,33.12
304,76,0,228,0,932,670,,49.19
139.6,209.4,0,192,0,1047,806.9,,14.59
198.6,132.4,0,192,0,978.4,825.5,,14.64
475,0,0,228,0,932,594,,41.93
198.6,132.4,0,192,0,978.4,825.5,,9.13
304,76,0,228,0,932,670,,50.95
332.5,142.5,0,228,0,932,594,,33.02
304,76,0,228,0,932,670,,54.38
266,114,0,228,0,932,670,,51.73
310,0,0,192,0,971,850.6,,9.87
190,190,0,228,0,932,670,,50.66
266,114,0,228,0,932,670,,48.7
342,38,0,228,0,932,670,,55.06
139.6,209.4,0,192,0,1047,806.9,,44.7
332.5,142.5,0,228,0,932,594,,30.28
190,190,0,228,0,932,670,,40.86
485,0,0,146,0,1120,800,,71.99
374,189.2,0,170.1,10.1,926.1,756.7,,34.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,,28.8
425,106.3,0,153.5,16.5,852.1,887.1,,33.4
425,106.3,0,151.4,18.6,936,803.7,,36.3
375,93.8,0,126.6,23.4,852.1,992.6,,29
475,118.8,0,181.1,8.9,852.1,781.5,,37.8
469,117.2,0,137.8,32.2,852.1,840.5,,40.2
425,106.3,0,153.5,16.5,852.1,887.1,,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,,28.1
531.3,0,0,141.8,28.2,852.1,893.7,,41.3
425,106.3,0,153.5,16.5,852.1,887.1,,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,,25.2
401.8,94.7,0,147.4,11.4,946.8,852.1,,41.1
362.6,189,0,164.9,11.6,944.7,755.8,,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,,28.3
379.5,151.2,0,153.9,15.9,1134.3,605,,28.6
362.6,189,0,164.9,11.6,944.7,755.8,,35.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,,24.4
362.6,189,0,164.9,11.6,944.7,755.8,,35.3
439,177,0,186,11.1,884.9,707.9,,39.3
389.9,189,0,145.9,22,944.7,755.8,,40.6
362.6,189,0,164.9,11.6,944.7,755.8,,35.3
337.9,189,0,174.9,9.5,944.7,755.8,,24.1
374,189.2,0,170.1,10.1,926.1,756.7,,46.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,,42.8
425,106.3,0,153.5,16.5,852.1,887.1,,49.2
425,106.3,0,151.4,18.6,936,803.7,,46.8
375,93.8,0,126.6,23.4,852.1,992.6,,45.7
475,118.8,0,181.1,8.9,852.1,781.5,,55.6
469,117.2,0,137.8,32.2,852.1,840.5,,54.9
425,106.3,0,153.5,16.5,852.1,887.1,,49.2
388.6,97.1,0,157.9,12.1,852.1,925.7,,34.9
531.3,0,0,141.8,28.2,852.1,893.7,,46.9
425,106.3,0,153.5,16.5,852.1,887.1,,49.2
318.8,212.5,0,155.7,14.3,852.1,880.4,,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,,54.1
362.6,189,0,164.9,11.6,944.7,755.8,,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,,49.8
379.5,151.2,0,153.9,15.9,1134.3,605,,47.1
362.6,189,0,164.9,11.6,944.7,755.8,,55.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,,38
362.6,189,0,164.9,11.6,944.7,755.8,,55.9
439,177,0,186,11.1,884.9,707.9,,56.1
389.9,189,0,145.9,22,944.7,755.8,,59.09
362.6,189,0,164.9,11.6,944.7,755.8,,22.9
337.9,189,0,174.9,9.5,944.7,755.8,,35.1
374,189.2,0,170.1,10.1,926.1,756.7,,61.09
313.3,262.2,0,175.5,8.6,1046.9,611.8,,59.8
425,106.3,0,153.5,16.5,852.1,887.1,,60.29
425,106.3,0,151.4,18.6,936,803.7,,61.8
375,93.8,0,126.6,23.4,852.1,992.6,,56.7
475,118.8,0,181.1,8.9,852.1,781.5,,68.3
469,117.2,0,137.8,32.2,852.1,840.5,,66.9
425,106.3,0,153.5,16.5,852.1,887.1,,60.29
388.6,97.1,0,157.9,12.1,852.1,925.7,,50.7
531.3,0,0,141.8,28.2,852.1,893.7,,56.4
425,106.3,0,153.5,16.5,852.1,887.1,,60.29
318.8,212.5,0,155.7,14.3,852.1,880.4,,55.5
401.8,94.7,0,147.4,11.4,946.8,852.1,,68.5
362.6,189,0,164.9,11.6,944.7,755.8,,71.3
323.7,282.8,0,183.8,10.3,942.7,659.9,,74.7
379.5,151.2,0,153.9,15.9,1134.3,605,,52.2
362.6,189,0,164.9,11.6,944.7,755.8,,71.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,,67.7
362.6,189,0,164.9,11.6,944.7,755.8,,71.3
439,177,0,186,11.1,884.9,707.9,,66
389.9,189,0,145.9,22,944.7,755.8,,74.5
362.6,189,0,164.9,11.6,944.7,755.8,,71.3
337.9,189,0,174.9,9.5,944.7,755.8,,49.9
374,189.2,0,170.1,10.1,926.1,756.7,,63.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,,64.9
425,106.3,0,153.5,16.5,852.1,887.1,,64.3
425,106.3,0,151.4,18.6,936,803.7,,64.9
375,93.8,0,126.6,23.4,852.1,992.6,,60.2
475,118.8,0,181.1,8.9,852.1,781.5,,72.3
469,117.2,0,137.8,32.2,852.1,840.5,,69.3
425,106.3,0,153.5,16.5,852.1,887.1,,64.3
388.6,97.1,0,157.9,12.1,852.1,925.7,,55.2
531.3,0,0,141.8,28.2,852.1,893.7,,58.8
425,106.3,0,153.5,16.5,852.1,887.1,,64.3
318.8,212.5,0,155.7,14.3,852.1,880.4,,66.1
401.8,94.7,0,147.4,11.4,946.8,852.1,,73.7
362.6,189,0,164.9,11.6,944.7,755.8,,77.3
323.7,282.8,0,183.8,10.3,942.7,659.9,,80.2
379.5,151.2,0,153.9,15.9,1134.3,605,,54.9
362.6,189,0,164.9,11.6,944.7,755.8,,77.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,,72.99
362.6,189,0,164.9,11.6,944.7,755.8,,77.3
439,177,0,186,11.1,884.9,707.9,,71.7
389.9,189,0,145.9,22,944.7,755.8,,79.4
362.6,189,0,164.9,11.6,944.7,755.8,,77.3
337.9,189,0,174.9,9.5,944.7,755.8,,59.89
374,189.2,0,170.1,10.1,926.1,756.7,,64.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,,66.6
425,106.3,0,153.5,16.5,852.1,887.1,,65.2
425,106.3,0,151.4,18.6,936,803.7,,66.7
375,93.8,0,126.6,23.4,852.1,992.6,,62.5
475,118.8,0,181.1,8.9,852.1,781.5,,74.19
469,117.2,0,137.8,32.2,852.1,840.5,,70.7
425,106.3,0,153.5,16.5,852.1,887.1,,65.2
388.6,97.1,0,157.9,12.1,852.1,925.7,,57.6
531.3,0,0,141.8,28.2,852.1,893.7,,59.2
425,106.3,0,153.5,16.5,852.1,887.1,,65.2
318.8,212.5,0,155.7,14.3,852.1,880.4,,68.1
401.8,94.7,0,147.4,11.4,946.8,852.1,,75.5
362.6,189,0,164.9,11.6,944.7,755.8,,79.3
379.5,151.2,0,153.9,15.9,1134.3,605,,56.5
362.6,189,0,164.9,11.6,944.7,755.8,,79.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,,76.8
362.6,189,0,164.9,11.6,944.7,755.8,,79.3
439,177,0,186,11.1,884.9,707.9,,73.3
389.9,189,0,145.9,22,944.7,755.8,,82.6
362.6,189,0,164.9,11.6,944.7,755.8,,79.3
337.9,189,0,174.9,9.5,944.7,755.8,,67.8
222.4,0,96.7,189.3,4.5,967.1,870.3,,11.58
222.4,0,96.7,189.3,4.5,967.1,870.3,,24.45
222.4,0,96.7,189.3,4.5,967.1,870.3,,24.89
222.4,0,96.7,189.3,4.5,967.1,870.3,,29.45
222.4,0,96.7,189.3,4.5,967.1,870.3,,40.71
233.8,0,94.6,197.9,4.6,947,852.2,,10.38
233.8,0,94.6,197.9,4.6,947,852.2,,22.14
233.8,0,94.6,197.9,4.6,947,852.2,,22.84
233.8,0,94.6,197.9,4.6,947,852.2,,27.66
233.8,0,94.6,197.9,4.6,947,852.2,,34.56
194.7,0,100.5,165.6,7.5,1006.4,905.9,,12.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,,24.99
194.7,0,100.5,165.6,7.5,1006.4,905.9,,25.72
194.7,0,100.5,165.6,7.5,1006.4,905.9,,33.96
194.7,0,100.5,165.6,7.5,1006.4,905.9,,37.34
190.7,0,125.4,162.1,7.8,1090,804,,15.04
190.7,0,125.4,162.1,7.8,1090,804,,21.06
190.7,0,125.4,162.1,7.8,1090,804,,26.4
190.7,0,125.4,162.1,7.8,1090,804,,35.34
190.7,0,125.4,162.1,7.8,1090,804,,40.57
212.1,0,121.6,180.3,5.7,1057.6,779.3,,12.47
212.1,0,121.6,180.3,5.7,1057.6,779.3,,20.92
212.1,0,121.6,180.3,5.7,1057.6,779.3,,24.9
212.1,0,121.6,180.3,5.7,1057.6,779.3,,34.2
212.1,0,121.6,180.3,5.7,1057.6,779.3,,39.61
230,0,118.3,195.5,4.6,1029.4,758.6,,10.03
230,0,118.3,195.5,4.6,1029.4,758.6,,20.08
230,0,118.3,195.5,4.6,1029.4,758.6,,24.48
230,0,118.3,195.5,4.6,1029.4,758.6,,31.54
230,0,118.3,195.5,4.6,1029.4,758.6,,35.34
190.3,0,125.2,161.9,9.9,1088.1,802.6,,9.45
190.3,0,125.2,161.9,9.9,1088.1,802.6,,22.72
190.3,0,125.2,161.9,9.9,1088.1,802.6,,28.47
190.3,0,125.2,161.9,9.9,1088.1,802.6,,38.56
190.3,0,125.2,161.9,9.9,1088.1,802.6,,40.39
166.1,0,163.3,176.5,4.5,1058.6,780.1,,10.76
166.1,0,163.3,176.5,4.5,1058.6,780.1,,25.48
166.1,0,163.3,176.5,4.5,1058.6,780.1,,21.54
166.1,0,163.3,176.5,4.5,1058.6,780.1,,28.63
166.1,0,163.3,176.5,4.5,1058.6,780.1,,33.54
168,42.1,163.8,121.8,5.7,1058.7,780.1,,7.75
168,42.1,163.8,121.8,5.7,1058.7,780.1,,17.82
168,42.1,163.8,121.8,5.7,1058.7,780.1,,24.24
168,42.1,163.8,121.8,5.7,1058.7,780.1,,32.85
168,42.1,163.8,121.8,5.7,1058.7,780.1,,39.23
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,,18
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,,30.39
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,,45.71
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,,50.77
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,,53.9
213.8,98.1,24.5,181.7,6.7,1066,785.5,,13.18
213.8,98.1,24.5,181.7,6.7,1066,785.5,,17.84
213.8,98.1,24.5,181.7,6.7,1066,785.5,,40.23
213.8,98.1,24.5,181.7,6.7,1066,785.5,,47.13
213.8,98.1,24.5,181.7,6.7,1066,785.5,,49.97
229.7,0,118.2,195.2,6.1,1028.1,757.6,,13.36
229.7,0,118.2,195.2,6.1,1028.1,757.6,,22.32
229.7,0,118.2,195.2,6.1,1028.1,757.6,,24.54
229.7,0,118.2,195.2,6.1,1028.1,757.6,,31.35
229.7,0,118.2,195.2,6.1,1028.1,757.6,,40.86
238.1,0,94.1,186.7,7,949.9,847,,19.93
238.1,0,94.1,186.7,7,949.9,847,,25.69
238.1,0,94.1,186.7,7,949.9,847,,30.23
238.1,0,94.1,186.7,7,949.9,847,,39.59
238.1,0,94.1,186.7,7,949.9,847,,44.3
250,0,95.7,187.4,5.5,956.9,861.2,,13.82
250,0,95.7,187.4,5.5,956.9,861.2,,24.92
250,0,95.7,187.4,5.5,956.9,861.2,,29.22
250,0,95.7,187.4,5.5,956.9,861.2,,38.33
250,0,95.7,187.4,5.5,956.9,861.2,,42.35
212.5,0,100.4,159.3,8.7,1007.8,903.6,,13.54
212.5,0,100.4,159.3,8.7,1007.8,903.6,,26.31
212.5,0,100.4,159.3,8.7,1007.8,903.6,,31.64
212.5,0,100.4,159.3,8.7,1007.8,903.6,,42.55
212.5,0,100.4,159.3,8.7,1007.8,903.6,,42.92
212.6,0,100.4,159.4,10.4,1003.8,903.8,,13.33
212.6,0,100.4,159.4,10.4,1003.8,903.8,,25.37
212.6,0,100.4,159.4,10.4,1003.8,903.8,,37.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,,44.4
212.6,0,100.4,159.4,10.4,1003.8,903.8,,47.74
212,0,124.8,159,7.8,1085.4,799.5,,19.52
212,0,124.8,159,7.8,1085.4,799.5,,31.35
212,0,124.8,159,7.8,1085.4,799.5,,38.5
212,0,124.8,159,7.8,1085.4,799.5,,45.08
212,0,124.8,159,7.8,1085.4,799.5,,47.82
231.8,0,121.6,174,6.7,1056.4,778.5,,15.44
231.8,0,121.6,174,6.7,1056.4,778.5,,26.77
231.8,0,121.6,174,6.7,1056.4,778.5,,33.73
231.8,0,121.6,174,6.7,1056.4,778.5,,42.7
231.8,0,121.6,174,6.7,1056.4,778.5,,45.84
251.4,0,118.3,188.5,5.8,1028.4,757.7,,17.22
251.4,0,118.3,188.5,5.8,1028.4,757.7,,29.93
251.4,0,118.3,188.5,5.8,1028.4,757.7,,29.65
251.4,0,118.3,188.5,5.8,1028.4,757.7,,36.97
251.4,0,118.3,188.5,5.8,1028.4,757.7,,43.58
251.4,0,118.3,188.5,6.4,1028.4,757.7,,13.12
251.4,0,118.3,188.5,6.4,1028.4,757.7,,24.43
251.4,0,118.3,188.5,6.4,1028.4,757.7,,32.66
251.4,0,118.3,188.5,6.4,1028.4,757.7,,36.64
251.4,0,118.3,188.5,6.4,1028.4,757.7,,44.21
181.4,0,167,169.6,7.6,1055.6,777.8,,13.62
181.4,0,167,169.6,7.6,1055.6,777.8,,21.6
181.4,0,167,169.6,7.6,1055.6,777.8,,27.77
181.4,0,167,169.6,7.6,1055.6,777.8,,35.57
181.4,0,167,169.6,7.6,1055.6,777.8,,45.37
182,45.2,122,170.2,8.2,1059.4,780.7,,7.32
182,45.2,122,170.2,8.2,1059.4,780.7,,21.5
182,45.2,122,170.2,8.2,1059.4,780.7,,31.27
182,45.2,122,170.2,8.2,1059.4,780.7,,43.5
182,45.2,122,170.2,8.2,1059.4,780.7,,48.67
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,,7.4
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,,23.51
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,,31.12
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,,39.15
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,,48.15
290.4,0,96.2,168.1,9.4,961.2,865,,22.5
290.4,0,96.2,168.1,9.4,961.2,865,,34.67
290.4,0,96.2,168.1,9.4,961.2,865,,34.74
290.4,0,96.2,168.1,9.4,961.2,865,,45.08
290.4,0,96.2,168.1,9.4,961.2,865,,48.97
277.1,0,97.4,160.6,11.8,973.9,875.6,,23.14
277.1,0,97.4,160.6,11.8,973.9,875.6,,41.89
277.1,0,97.4,160.6,11.8,973.9,875.6,,48.28
277.1,0,97.4,160.6,11.8,973.9,875.6,,51.04
277.1,0,97.4,160.6,11.8,973.9,875.6,,55.64
295.7,0,95.6,171.5,8.9,955.1,859.2,,22.95
295.7,0,95.6,171.5,8.9,955.1,859.2,,35.23
295.7,0,95.6,171.5,8.9,955.1,859.2,,39.94
295.7,0,95.6,171.5,8.9,955.1,859.2,,48.72
295.7,0,95.6,171.5,8.9,955.1,859.2,,52.04
251.8,0,99.9,146.1,12.4,1006,899.8,,21.02
251.8,0,99.9,146.1,12.4,1006,899.8,,33.36
251.8,0,99.9,146.1,12.4,1006,899.8,,33.94
251.8,0,99.9,146.1,12.4,1006,899.8,,44.14
251.8,0,99.9,146.1,12.4,1006,899.8,,45.37
249.1,0,98.8,158.1,12.8,987.8,889,,15.36
249.1,0,98.8,158.1,12.8,987.8,889,,28.68
249.1,0,98.8,158.1,12.8,987.8,889,,30.85
249.1,0,98.8,158.1,12.8,987.8,889,,42.03
249.1,0,98.8,158.1,12.8,987.8,889,,51.06
252.3,0,98.8,146.3,14.2,987.8,889,,21.78
252.3,0,98.8,146.3,14.2,987.8,889,,42.29
252.3,0,98.8,146.3,14.2,987.8,889,,50.6
252.3,0,98.8,146.3,14.2,987.8,889,,55.83
252.3,0,98.8,146.3,14.2,987.8,889,,60.95
246.8,0,125.1,143.3,12,1086.8,800.9,,23.52
246.8,0,125.1,143.3,12,1086.8,800.9,,42.22
246.8,0,125.1,143.3,12,1086.8,800.9,,52.5
246.8,0,125.1,143.3,12,1086.8,800.9,,60.32
246.8,0,125.1,143.3,12,1086.8,800.9,,66.42
275.1,0,121.4,159.5,9.9,1053.6,777.5,,23.8
275.1,0,121.4,159.5,9.9,1053.6,777.5,,38.77
275.1,0,121.4,159.5,9.9,1053.6,777.5,,51.33
275.1,0,121.4,159.5,9.9,1053.6,777.5,,56.85
275.1,0,121.4,159.5,9.9,1053.6,777.5,,58.61
297.2,0,117.5,174.8,9.5,1022.8,753.5,,21.91
297.2,0,117.5,174.8,9.5,1022.8,753.5,,36.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,,47.4
297.2,0,117.5,174.8,9.5,1022.8,753.5,,51.96
297.2,0,117.5,174.8,9.5,1022.8,753.5,,56.74
213.7,0,174.7,154.8,10.2,1053.5,776.4,,17.57
213.7,0,174.7,154.8,10.2,1053.5,776.4,,33.73
213.7,0,174.7,154.8,10.2,1053.5,776.4,,40.15
213.7,0,174.7,154.8,10.2,1053.5,776.4,,46.64
213.7,0,174.7,154.8,10.2,1053.5,776.4,,50.08
213.5,0,174.2,154.6,11.7,1052.3,775.5,,17.37
213.5,0,174.2,154.6,11.7,1052.3,775.5,,33.7
213.5,0,174.2,154.6,11.7,1052.3,775.5,,45.94
213.5,0,174.2,154.6,11.7,1052.3,775.5,,51.43
213.5,0,174.2,154.6,11.7,1052.3,775.5,,59.3
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,,30.45
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,,47.71
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,,63.14
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,,66.82
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,,66.95
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,,27.42
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,,35.96
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,,55.51
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,,61.99
218.2,54.6,123.8,140.8,11.9,1075.7,792.7,,63.53
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,,18.02
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,,38.6
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,,52.2
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,,53.96
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,,56.63
218.9,0,124.1,158.5,11.3,1078.7,794.9,,15.34
218.9,0,124.1,158.5,11.3,1078.7,794.9,,26.05
218.9,0,124.1,158.5,11.3,1078.7,794.9,,30.22
218.9,0,124.1,158.5,11.3,1078.7,794.9,,37.27
218.9,0,124.1,158.5,11.3,1078.7,794.9,,46.23
376,0,0,214.6,0,1003.5,762.4,,16.28
376,0,0,214.6,0,1003.5,762.4,,25.62
376,0,0,214.6,0,1003.5,762.4,,31.97
376,0,0,214.6,0,1003.5,762.4,,36.3
376,0,0,214.6,0,1003.5,762.4,,43.06
500,0,0,140,4,966,853,,67.57
475,0,59,142,1.9,1098,641,,57.23
315,137,0,145,5.9,1130,745,,81.75
505,0,60,195,0,1030,630,,64.02
451,0,0,165,11.3,1030,745,,78.8
516,0,0,162,8.2,801,802,,41.37
520,0,0,170,5.2,855,855,,60.28
528,0,0,185,6.9,920,720,,56.83
520,0,0,175,5.2,870,805,,51.02
385,0,136,158,20,903,768,,55.55
500.1,0,0,200,3,1124.4,613.2,,44.13
450.1,50,0,200,3,1124.4,613.2,,39.38
397,17.2,158,167,20.8,967,633,,55.65
333,17.5,163,167,17.9,996,652,,47.28
334,17.6,158,189,15.3,967,633,,44.33
405,0,0,175,0,1120,695,,52.3
200,200,0,190,0,1145,660,,49.25
516,0,0,162,8.3,801,802,,41.37
145,116,119,184,5.7,833,880,,29.16
160,128,122,182,6.4,824,879,,39.4
234,156,0,189,5.9,981,760,,39.3
250,180,95,159,9.5,860,800,,67.87
475,0,0,162,9.5,1044,662,,58.52
285,190,0,163,7.6,1031,685,,53.58
356,119,0,160,9,1061,657,,59
275,180,120,162,10.4,830,765,,76.24
500,0,0,151,9,1033,655,,69.84
165,0,143.6,163.8,0,1005.6,900.9,,14.4
165,128.5,132.1,175.1,8.1,1005.8,746.6,,19.42
178,129.8,118.6,179.9,3.6,1007.3,746.8,,20.73
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,,14.94
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,,21.29
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,,23.08
167,75.4,167,164,7.9,1007.3,770.1,,15.52
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,,15.82
190.3,0,125.2,166.6,9.9,1079,798.9,,12.55
250,0,95.7,191.8,5.3,948.9,857.2,,8.49
213.5,0,174.2,159.2,11.7,1043.6,771.9,,15.61
194.7,0,100.5,170.2,7.5,998,901.8,,12.18
251.4,0,118.3,192.9,5.8,1043.6,754.3,,11.98
165,0,143.6,163.8,0,1005.6,900.9,,16.88
165,128.5,132.1,175.1,8.1,1005.8,746.6,,33.09
178,129.8,118.6,179.9,3.6,1007.3,746.8,,34.24
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,,31.81
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,,29.75
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,,33.01
167,75.4,167,164,7.9,1007.3,770.1,,32.9
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,,29.55
190.3,0,125.2,166.6,9.9,1079,798.9,,19.42
250,0,95.7,191.8,5.3,948.9,857.2,,24.66
213.5,0,174.2,159.2,11.7,1043.6,771.9,,29.59
194.7,0,100.5,170.2,7.5,998,901.8,,24.28
251.4,0,118.3,192.9,5.8,1043.6,754.3,,20.73
165,0,143.6,163.8,0,1005.6,900.9,,26.2
165,128.5,132.1,175.1,8.1,1005.8,746.6,,46.39
178,129.8,118.6,179.9,3.6,1007.3,746.8,,39.16
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,,41.2
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,,33.69
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,,38.2
167,75.4,167,164,7.9,1007.3,770.1,,41.41
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,,37.81
190.3,0,125.2,166.6,9.9,1079,798.9,,24.85
250,0,95.7,191.8,5.3,948.9,857.2,,27.22
213.5,0,174.2,159.2,11.7,1043.6,771.9,,44.64
194.7,0,100.5,170.2,7.5,998,901.8,,37.27
251.4,0,118.3,192.9,5.8,1043.6,754.3,,33.27
165,0,143.6,163.8,0,1005.6,900.9,,36.56
165,128.5,132.1,175.1,8.1,1005.8,746.6,,53.72
178,129.8,118.6,179.9,3.6,1007.3,746.8,,48.59
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,,51.72
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,,35.85
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,,53.77
167,75.4,167,164,7.9,1007.3,770.1,,53.46
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,,48.99
190.3,0,125.2,166.6,9.9,1079,798.9,,31.72
250,0,95.7,191.8,5.3,948.9,857.2,,39.64
213.5,0,174.2,159.2,11.7,1043.6,771.9,,51.26
194.7,0,100.5,170.2,7.5,998,901.8,,43.39
251.4,0,118.3,192.9,5.8,1043.6,754.3,,39.27
165,0,143.6,163.8,0,1005.6,900.9,,37.96
165,128.5,132.1,175.1,8.1,1005.8,746.6,,55.02
178,129.8,118.6,179.9,3.6,1007.3,746.8,,49.99
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,,53.66
172.4,13.6,172.4,156.8,4.1,1006.3,856.4,,37.68
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,,56.06
167,75.4,167,164,7.9,1007.3,770.1,,56.81
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,,50.94
190.3,0,125.2,166.6,9.9,1079,798.9,,33.56
250,0,95.7,191.8,5.3,948.9,857.2,,41.16
213.5,0,174.2,159.2,11.7,1043.6,771.9,,52.96
